qid,chars,lines,tokens,n_select,n_join,n_where,is_cte,has_where,has_join,has_group,has_having,has_order,has_limit,has_distinct,has_case,has_window,has_union,has_exists,has_in_subq,has_like,has_recursive,has_subquery,join_inner,join_left,join_right,join_full,join_cross,n_tables,tbl_customer,tbl_lineitem,tbl_nation,tbl_orders,tbl_part,tbl_partsupp,tbl_region,tbl_supplier,fn_count,fn_sum,fn_avg,fn_min,fn_max,fn_string_agg,fn_array_agg,fn_substring,fn_concat,fn_replace,fn_upper,fn_lower,fn_trim,fn_coalesce,fn_cast,fn_round,fn_extract,fn_date_trunc,fn_case
10010,377,20,52,1,2,0,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10011,392,21,42,1,0,1,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10012,476,26,74,1,6,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10013,535,27,82,1,5,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10014,409,21,62,1,3,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10015,421,22,59,1,3,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10016,507,26,77,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10017,304,17,46,1,1,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10018,371,20,50,1,2,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10019,466,26,69,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1002,1551,59,197,4,7,3,True,True,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,False,False,7,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
10020,355,20,54,1,4,0,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,False,True,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10021,477,26,70,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10022,558,28,86,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10023,277,17,39,1,2,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10024,480,24,68,1,2,0,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10025,529,25,81,1,5,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,True,True,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10026,390,21,58,1,4,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10027,498,23,76,1,4,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10028,285,17,36,1,1,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10029,558,28,82,1,5,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1003,1842,75,216,7,6,4,True,True,True,True,False,True,False,True,True,True,False,False,True,False,False,True,False,True,False,False,False,7,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10030,367,20,57,1,2,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10031,447,23,70,1,4,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,False,True,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10032,294,17,44,1,1,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10033,312,19,47,1,2,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10034,409,21,49,1,4,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10035,582,27,93,1,6,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10036,552,28,84,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10037,450,23,65,1,5,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,True,True,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10038,544,27,62,1,6,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10039,339,20,37,1,4,0,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10040,518,27,82,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10041,406,22,57,1,3,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10042,465,23,70,1,4,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10043,558,27,81,1,4,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,False,True,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10044,394,21,55,1,3,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10045,470,23,70,1,4,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10046,594,30,82,1,5,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,True,True,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10047,277,16,34,1,0,1,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10048,272,16,34,1,1,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10049,520,27,82,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10050,516,26,72,1,4,1,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5,False,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10051,365,21,56,1,4,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,False,True,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10052,451,22,61,1,2,0,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,True,False,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10053,449,23,64,1,3,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10054,466,24,70,1,3,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10055,510,27,74,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10056,573,31,85,1,5,1,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10057,576,28,86,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10058,531,27,82,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10059,631,27,97,1,6,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10060,392,21,55,1,3,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10061,442,24,70,1,4,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10062,477,26,72,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10063,340,19,48,1,2,0,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,True,False,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10064,384,21,54,1,3,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10065,561,26,84,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,True,True,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10066,573,27,69,1,6,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10067,353,19,42,1,3,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10068,200,11,24,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10069,520,27,74,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10071,240,15,29,1,0,1,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10072,497,27,74,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10073,560,27,85,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10074,373,19,48,1,2,0,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10075,485,26,70,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10076,320,20,37,1,4,0,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10077,455,24,68,1,4,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,False,True,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10078,298,18,42,1,1,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10079,513,25,77,1,4,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,True,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1008,1563,72,180,6,5,3,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,5,True,False,False,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10080,532,27,84,1,6,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10081,241,16,31,1,0,1,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10082,574,28,86,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10083,378,20,50,1,2,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10084,484,24,78,1,4,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10085,407,21,54,1,2,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10086,413,21,62,1,3,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10087,488,26,70,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10088,533,27,82,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10089,550,27,87,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10090,337,18,38,1,0,1,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10091,523,24,81,1,5,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,True,True,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10092,686,31,105,1,6,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10093,507,27,74,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10094,559,24,58,1,0,1,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10095,522,28,61,2,1,2,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,2,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
10096,381,20,52,1,2,0,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10097,257,16,38,1,0,1,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10098,620,27,96,1,6,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10099,376,21,54,1,3,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
101,1951,77,219,5,5,4,True,True,True,True,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,5,False,True,False,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
10100,452,25,68,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10101,415,23,61,1,4,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10102,562,28,86,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10103,527,27,74,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10104,479,23,70,1,4,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10105,372,21,58,1,3,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10106,568,27,82,1,4,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,False,True,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10108,238,17,33,1,1,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10109,368,21,56,1,4,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,False,True,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10110,241,14,29,1,0,1,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10111,460,23,69,1,5,0,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,True,True,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10112,690,32,107,1,7,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10113,526,24,78,1,4,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10114,455,23,72,1,4,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,False,True,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10115,548,29,86,1,5,1,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
