query,status,systems
10145.sql,excluded_invalid,"[[""umbra""]]"
10146.sql,excluded_invalid,"[[""duckdb""], [""umbra""]]"
10147.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10149.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
1015.sql,excluded_invalid,"[[""duckdb""], [""umbra""], [""postgres""]]"
10150.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10151.sql,excluded_invalid,"[[""umbra""]]"
10152.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10153.sql,excluded_invalid,"[[""duckdb""], [""umbra""]]"
10154.sql,excluded_invalid,"[[""postgres""], [""umbra""], [""duckdb""]]"
10155.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10156.sql,excluded_invalid,"[[""duckdb""], [""postgres""], [""umbra""]]"
10157.sql,excluded_postgres_disagrees,"[[""umbra"", ""duckdb""]]"
10159.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10161.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10162.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10163.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10164.sql,excluded_invalid,"[[""duckdb""], [""postgres""], [""umbra""]]"
10165.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10166.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10168.sql,excluded_invalid,"[[""duckdb""], [""umbra""]]"
10169.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
1017.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10170.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10171.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10176.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10177.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10179.sql,excluded_postgres_disagrees,"[[""umbra"", ""duckdb""]]"
1018.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10181.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10182.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10183.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10184.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10185.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10186.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10187.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10188.sql,excluded_invalid,"[[""duckdb""], [""umbra""], [""postgres""]]"
10189.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10190.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10191.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10192.sql,excluded_invalid,"[[""umbra""]]"
10193.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10195.sql,excluded_invalid,"[[""umbra""], [""duckdb""]]"
10196.sql,excluded_invalid,"[[""umbra""]]"
10197.sql,excluded_postgres_disagrees,"[[""umbra"", ""duckdb""]]"
10199.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
102.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
1020.sql,excluded_invalid,"[[""umbra""], [""duckdb""], [""postgres""]]"
10201.sql,excluded_invalid,"[[""umbra""]]"
10202.sql,excluded_postgres_disagrees,"[[""umbra"", ""duckdb""]]"
10204.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10205.sql,excluded_invalid,"[[""duckdb""], [""umbra""]]"
10206.sql,excluded_invalid,"[[""duckdb""], [""umbra""], [""postgres""]]"
10207.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10208.sql,excluded_invalid,"[[""umbra""]]"
10209.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
1021.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10210.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10211.sql,excluded_invalid,"[[""duckdb""], [""postgres""], [""umbra""]]"
10212.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10213.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10214.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10215.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10216.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10217.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10218.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10220.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10221.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10223.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10224.sql,excluded_invalid,"[[""postgres""], [""umbra""], [""duckdb""]]"
10226.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10227.sql,included,"[[""duckdb"", ""postgres""], [""umbra""]]"
10230.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10231.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10232.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10233.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10235.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10236.sql,excluded_invalid,"[[""duckdb""], [""umbra""]]"
10237.sql,excluded_invalid,"[[""duckdb""], [""umbra""]]"
10238.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10239.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10241.sql,included,"[[""duckdb"", ""postgres""], [""umbra""]]"
10246.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10247.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10248.sql,excluded_invalid,"[[""duckdb""], [""umbra""], [""postgres""]]"
10249.sql,excluded_invalid,"[[""umbra""], [""duckdb""]]"
10250.sql,excluded_invalid,"[[""duckdb""], [""umbra""]]"
10252.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10253.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10254.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10255.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10256.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10258.sql,excluded_postgres_disagrees,"[[""umbra"", ""duckdb""]]"
10260.sql,excluded_invalid,"[[""duckdb""], [""umbra""]]"
10261.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10263.sql,excluded_invalid,"[[""umbra""], [""duckdb""]]"
10264.sql,excluded_invalid,"[[""umbra""]]"
10266.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10267.sql,excluded_invalid,"[[""duckdb""], [""umbra""]]"
10268.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10269.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10271.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10272.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10273.sql,excluded_invalid,"[[""duckdb""], [""umbra""]]"
10274.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10275.sql,excluded_invalid,"[[""duckdb""], [""umbra""]]"
10276.sql,excluded_postgres_disagrees,"[[""umbra"", ""duckdb""]]"
10277.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10278.sql,excluded_invalid,"[[""duckdb""], [""umbra""], [""postgres""]]"
10279.sql,excluded_invalid,"[[""duckdb""], [""postgres""], [""umbra""]]"
1028.sql,excluded_invalid,"[[""umbra""], [""duckdb""], [""postgres""]]"
10280.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10281.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10283.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10284.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10285.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10286.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10287.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10288.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
1029.sql,excluded_invalid,"[[""umbra""], [""duckdb""], [""postgres""]]"
10290.sql,excluded_invalid,"[[""duckdb""], [""postgres""], [""umbra""]]"
10291.sql,excluded_invalid,"[[""duckdb""], [""postgres""], [""umbra""]]"
10294.sql,excluded_invalid,"[[""umbra""]]"
10295.sql,excluded_invalid,"[[""umbra""]]"
10296.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10297.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10298.sql,excluded_invalid,"[[""duckdb""], [""postgres""], [""umbra""]]"
10300.sql,excluded_postgres_disagrees,"[[""umbra"", ""duckdb""]]"
10301.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10302.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10303.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10304.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10306.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10307.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10308.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10309.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10310.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10311.sql,excluded_invalid,"[[""duckdb""], [""umbra""], [""postgres""]]"
10312.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10313.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10314.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10315.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10316.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10318.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
1032.sql,excluded_invalid,"[[""duckdb""], [""postgres""], [""umbra""]]"
10322.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10324.sql,excluded_invalid,"[[""duckdb""], [""umbra""]]"
10325.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10327.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10328.sql,included,"[[""umbra"", ""postgres""]]"
1033.sql,excluded_postgres_disagrees,"[[""duckdb"", ""umbra""], [""postgres""]]"
10331.sql,included,"[[""umbra"", ""postgres""]]"
10332.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10333.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10334.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10336.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10338.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10339.sql,excluded_invalid,"[[""duckdb""], [""postgres""], [""umbra""]]"
1034.sql,excluded_invalid,"[[""duckdb""], [""umbra""], [""postgres""]]"
10340.sql,excluded_invalid,"[[""umbra""]]"
10342.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10344.sql,excluded_invalid,"[[""duckdb""], [""postgres""], [""umbra""]]"
10345.sql,excluded_invalid,"[[""umbra""], [""duckdb""]]"
10346.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10347.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10348.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10349.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
1035.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10350.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10351.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10354.sql,excluded_invalid,"[[""umbra""]]"
10355.sql,excluded_invalid,"[[""umbra""]]"
10356.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10359.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10360.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10361.sql,excluded_invalid,"[[""duckdb""], [""postgres""], [""umbra""]]"
10362.sql,excluded_invalid,"[[""umbra""]]"
10363.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10364.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10365.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10366.sql,excluded_invalid,"[[""umbra""], [""duckdb""]]"
10367.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10368.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10369.sql,excluded_invalid,"[[""umbra""]]"
10370.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10371.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10372.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10377.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10378.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10379.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10380.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10381.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10382.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10383.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10384.sql,included,"[[""duckdb"", ""postgres""], [""umbra""]]"
10385.sql,excluded_invalid,"[[""duckdb""], [""postgres""], [""umbra""]]"
10386.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10387.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10389.sql,excluded_invalid,"[[""duckdb""], [""postgres""], [""umbra""]]"
10390.sql,excluded_invalid,"[[""umbra""], [""duckdb""], [""postgres""]]"
10391.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10392.sql,excluded_invalid,"[[""duckdb""], [""umbra""]]"
10393.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10395.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10397.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10398.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10399.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
104.sql,excluded_invalid,"[[""umbra""], [""duckdb""], [""postgres""]]"
1040.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10403.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10406.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10407.sql,excluded_invalid,"[[""umbra""], [""duckdb""], [""postgres""]]"
10408.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10409.sql,excluded_invalid,"[[""duckdb""], [""umbra""]]"
1041.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10410.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10411.sql,excluded_invalid,"[[""duckdb""], [""umbra""]]"
10412.sql,excluded_invalid,"[[""duckdb""], [""umbra""], [""postgres""]]"
10414.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10415.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10416.sql,excluded_invalid,"[[""duckdb""], [""umbra""]]"
10417.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10418.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
1042.sql,excluded_postgres_disagrees,"[[""umbra"", ""duckdb""]]"
10422.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10423.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10424.sql,excluded_invalid,"[[""duckdb""], [""umbra""], [""postgres""]]"
10426.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10427.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10428.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
1043.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10430.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10431.sql,excluded_invalid,"[[""duckdb""], [""umbra""]]"
10432.sql,excluded_postgres_disagrees,"[[""umbra"", ""duckdb""]]"
10433.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10434.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10435.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10437.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10438.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
1044.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10440.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10441.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10443.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10444.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10447.sql,excluded_postgres_disagrees,"[[""umbra"", ""duckdb""]]"
10448.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10449.sql,excluded_invalid,"[[""duckdb""], [""umbra""], [""postgres""]]"
10450.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10452.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10453.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10455.sql,excluded_invalid,"[[""duckdb""], [""postgres""], [""umbra""]]"
10456.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10457.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10459.sql,included,"[[""duckdb"", ""postgres""], [""umbra""]]"
1046.sql,excluded_invalid,"[[""duckdb""], [""postgres""], [""umbra""]]"
10460.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10461.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10462.sql,excluded_invalid,"[[""duckdb""], [""umbra""], [""postgres""]]"
10464.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10465.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10467.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10469.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10470.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10472.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10473.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10474.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10475.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10477.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10478.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10479.sql,excluded_invalid,"[[""duckdb""], [""postgres""], [""umbra""]]"
10480.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10481.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10484.sql,excluded_invalid,"[[""duckdb""], [""postgres""], [""umbra""]]"
10486.sql,included,"[[""postgres"", ""umbra""], [""duckdb""]]"
10488.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10489.sql,excluded_invalid,"[[""duckdb""], [""umbra""]]"
1049.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10490.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
10491.sql,included,"[[""umbra"", ""duckdb"", ""postgres""]]"
